baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G18400	1507.86165813578	1.10283980945079	0.270298118480662	4.08008688943091	4.50188697660593e-05	0.00146637843574325
AT1G18760	201.915929866208	-1.28334506738997	0.365537040860888	-3.51084821491009	0.00044667936576784	0.00954847702358312
AT1G18780	59.1764818064198	-1.45990497627598	0.411287011056684	-3.54960146328272	0.00038581475430716	0.00849060154014735
AT1G18810	209.544496620016	2.09779831669455	0.585570857133581	3.58248415394757	0.000340342267633414	0.00766268384998246
AT1G18980	64.0564409443363	1.04011550350731	0.340158629947362	3.05773663207741	0.00223015485317475	0.0331894130466018
AT1G19060	17.3486551500456	-2.57152674290417	0.692340986101583	-3.71424889545231	0.000203808127964664	0.00507982927526336
AT1G19373	54.0459474090431	-1.38874694056103	0.400544809116457	-3.46714502086398	0.000526018011636994	0.0108867708215963
AT1G19376	75.0044476077267	-1.13047565652964	0.271026475385547	-4.171089392361	3.03146903399239e-05	0.0010541626916356
AT1G19490	656.627553328573	1.17675210579499	0.214479336829248	5.48655233269313	4.09854041434896e-08	3.42093304189771e-06
AT1G19700	5914.25664224174	1.15646208514146	0.281134695448123	4.11355163153409	3.89617847181216e-05	0.00130081095452318
AT1G19900	449.026413272573	1.08074524056183	0.211232899740568	5.11636796109497	3.11475148526647e-07	2.05816937987374e-05
AT1G05553	139.740065669508	-1.38771430532716	0.322835674346222	-4.29851598073054	1.71945505525691e-05	0.000658061124767554
AT1G05557	200.790156742303	-1.68015679989342	0.280537057406365	-5.98907258608502	2.1104096710307e-09	2.36944845100588e-07
AT1G20470	197.787962023828	-1.5767720663504	0.321306537565906	-4.90737623421988	9.23028650572009e-07	5.23958142720675e-05
AT1G20480	2353.57038490686	-1.06405923654495	0.209362054372673	-5.08238820894867	3.72718674728955e-07	2.40645385561641e-05
AT1G20875	23.7950851051641	1.69421485801844	0.556049516004645	3.04687767771439	0.00231231787374399	0.0341319102550204
AT1G20890	2461.97557341331	1.25285858140762	0.206481882228357	6.06764413364867	1.29800115356784e-09	1.53188284979676e-07
AT1G05647	16.7080047415026	-2.74356236232423	0.598189104220469	-4.58644656508666	4.5085372515345e-06	0.000204650490555342
AT1G21323	269.976710316806	-1.03811460968689	0.199384510814703	-5.2065960662895	1.92336141680682e-07	1.33342548060263e-05
AT1G22380	353.576856507874	-1.29144354609535	0.389115710248722	-3.31891905693004	0.000903666194393154	0.0166106609657797
AT1G05763	22.0044842394912	2.0439064003546	0.460077319014193	4.44252806187899	8.89080335485473e-06	0.000375992073876807
AT1G23010	2004.39057225709	1.20990486271429	0.205126499575473	5.89833524785091	3.67187345423668e-09	3.96468583097027e-07
AT1G26355	99.5558210428641	-1.11261833037342	0.247365715342196	-4.49786797994326	6.86382950290031e-06	0.000297714204797594
AT1G26973	67.8688468308318	-1.24148340822198	0.260856161572314	-4.75926426555894	1.94299905586145e-06	0.000100410708846086
AT1G26975	256.311584723826	-1.07805383659892	0.186896148326453	-5.76819718465182	8.01240248435016e-09	8.13226802551604e-07
AT1G26976	1136.13311154739	-1.13854356966686	0.190779028285193	-5.96786544045534	2.40377472119188e-09	2.67514823576854e-07
AT1G27135	238.839007662232	-1.7437737615929	0.209231027627492	-8.33420253853293	7.8022266041815e-17	3.09333902897658e-14
AT1G27160	210.287698510781	-1.11718235391716	0.245995755206096	-4.54147004683549	5.58633238263891e-06	0.000246947034629059
AT1G27690	20614.3738099347	-1.27169605905183	0.195019439730837	-6.5208681801517	6.99015978742269e-11	1.1297344869176e-08
AT1G27695	3532.61167152737	-1.03883717228189	0.192347807166525	-5.40082669818281	6.63344859178649e-08	5.30968847217635e-06
AT1G28180	63.5603139384371	-1.78960280579606	0.48220208057203	-3.71131290780221	0.000206187035612503	0.00510916976721842
AT1G28360	2523.33936165576	-1.20473732052782	0.249393137792884	-4.83067549969369	1.36070615583765e-06	7.29948372055489e-05
